key;brand;building;domain;local;model;name;nbFaults;niveau;notes;photo;quantity;serialNumber;status
-LHXpVhmqap8Maj7E7Ph;Grundfos;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;S/station;DMI 3,0-10;Pompe doseuse S/station;3;R-1;"Produit utilis  : PEP 04(produit anti orrosion pour r seau d'eaux chaudes sanitaires)Dosage actuel : 60 / 90 ml/m3Nous pr conisons de r aliser une analyse physico chimique du r seau d'eau chaude";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhmqap8Maj7E7Ph%2F011834_Photo%2003-05-2018%2012.22.09.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;10/342278;En marche
-LHXpVhob-Hm3V1VOE1B;Wateau;Batiment Test;COMPTAGE;Chaufferie;Qn 10;Compteur eau de ville S/station;4;R-1;"Il est conseill  d' talonner les compteurs eau (tous les 15 ans   minima)Nous pr conisons de r aliser un relev  et suivi hebdommadaire du compteur d'eau de ville pour am liorer la performance  nerg tique de l'installation";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhob-Hm3V1VOE1B%2F011835_Photo%2003-05-2018%2012.25.29.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhpTDaHaYChPs5G;Salmson;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;S/station;SXM 65-25N;Pompe Distribution EC b timent G;7;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhpTDaHaYChPs5G%2F011836_Photo%2003-05-2018%2012.29.14.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;2080127;En marche
-LHXpVhsylEV4HRphTNy;Landis & gyr;Batiment Test;ELECTRICITE COURANTS FAIBLES;S/station;SKD 32;Servomoteur R seau chaud b timent G;2;R-1;"Contr ler les positions ""d but et fin"" de course de l' quipement";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhsylEV4HRphTNy%2F011837_Photo%2003-05-2018%2012.32.56.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVht_zEwZ3L0NCX2;;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;S/station;;Pot   boue S/station;2;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVht_zEwZ3L0NCX2%2F011838_Photo%2003-05-2018%2012.35.40.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;;En marche
-LHXpVhuZgzt8F6bIQf6;Salmson;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;S/station;NEC-2-T-25/C;Pompe Recyclage;9;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhuZgzt8F6bIQf6%2F011839_Photo%2003-05-2018%2012.38.16.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;044 / 00104;En marche
-LHXpVhxHwD48X0vbdzV;Salmson;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;S/station;NEC 33 T;Pompe Recyclage n 2;11;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhxHwD48X0vbdzV%2F011840_Photo%2003-05-2018%2012.44.36.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;4656466;En marche
-LHXpVhzRWR4y5yfgQqo;Isogard;Batiment Test;INCENDIE ET SECURITE;S/station; Poudre ABC;Extincteur   poudre S/station;4;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhzRWR4y5yfgQqo%2F011841_Photo%2003-05-2018%2012.47.58.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVi174vuvwhEHXYb;Isogard;Batiment Test;INCENDIE ET SECURITE;S/station; CO2;Extincteur au CO2 S/station;4;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVi174vuvwhEHXYb%2F011842_Photo%2003-05-2018%2012.51.18.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVi3A3FHFG-ker3W;;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;S/station;;Distribution hydraulique S/station;4;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVi3A3FHFG-ker3W%2F011843_Photo%2003-05-2018%2012.54.57.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
